"Kerncijfers wijken en buurten 2015"
"Onderwerpen";"Regioaanduiding";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen"
"Onderwerpen";"Codering";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; leeftijd";"Personenauto's; leeftijd";"Personenauto's; brandstoftype";"Personenauto's; brandstoftype";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; jonger dan 6 jaar";"Personenauto's; 6 jaar en ouder";"Personenauto's; brandstof benzine";"Personenauto's; overige brandstof";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Wijken en buurten";"code";"aantal";"aantal";"aantal";"aantal";"aantal";"per huishouden";"per km²";"aantal";"aantal"
"Wijk 08 Heesbeen";"WK079708";"135";"55";"75";"80";"55";"2.0";"86";"70";"10"
"Heesbeen";"BU07970800";"135";"55";"75";"80";"55";"2.0";"86";"70";"10"
"Wijk 09 Herpt";"WK079709";"430";"135";"290";"320";"110";"1.5";"80";"70";"45"
"Herpt";"BU07970900";"430";"135";"290";"320";"110";"1.5";"80";"70";"45"
"Wijk 10 Heusden";"WK079710";"725";"225";"500";"545";"185";"1.1";"786";"85";"45"
"Heusden";"BU07971000";"725";"225";"500";"545";"185";"1.1";"786";"85";"45"
"Wijk 11 Oudheusden";"WK079711";"1360";"325";"1035";"1040";"320";"1.2";"237";"105";"90"
"Oudheusden";"BU07971100";"1360";"325";"1035";"1040";"320";"1.2";"237";"105";"90"
"Hilvarenbeek";"GM0798";"8250";"2135";"6110";"6700";"1550";"1.3";"87";"1595";"795"
"Wijk 00 Hilvarenbeek";"WK079800";"4480";"1240";"3240";"3720";"760";"1.3";"142";"515";"385"
"Hilvarenbeek";"BU07980000";"4070";"1150";"2920";"3390";"680";"1.2";"1310";"420";"350"
"Verspreide huizen Hilvarenbeek";"BU07980009";"405";"90";"320";"330";"80";"1.7";"14";"95";"35"
"Wijk 01 Esbeek";"WK079801";"710";"180";"535";"550";"165";"1.6";"27";"330";"60"
"Esbeek";"BU07980100";"510";"125";"385";"405";"105";"1.6";"542";"265";"45"
"Verspreide huizen Esbeek";"BU07980109";"200";"50";"150";"140";"60";"1.5";"8";"65";"15"
"Wijk 02 Biest-Houtakker";"WK079802";"505";"110";"395";"400";"105";"1.5";"81";"130";"55"
"Biest-Houtakker";"BU07980200";"415";"95";"320";"335";"80";"1.6";"444";"80";"40"
"Verspreide huizen Biest-Houtakker";"BU07980209";"90";"15";"75";"65";"25";"1.3";"17";"50";"15"
"Wijk 03 Diessen";"WK079803";"2085";"510";"1575";"1675";"405";"1.4";"98";"335";"240"
"Diessen";"BU07980300";"1625";"415";"1210";"1335";"290";"1.4";"782";"230";"190"
"Baarschot";"BU07980301";"150";"30";"115";"115";"30";"1.9";"497";"25";"25"
"Verspreide huizen Baarschot";"BU07980309";"310";"65";"245";"225";"85";"1.4";"17";"80";"20"
"Wijk 04 Haghorst";"WK079804";"465";"100";"365";"350";"115";"1.5";"46";"140";"55"
"Haghorst";"BU07980400";"285";"55";"230";"220";"65";"1.5";"624";"45";"40"
"Verspreide huizen Haghorst";"BU07980409";"180";"45";"135";"130";"50";"1.4";"19";"95";"15"
"Loon op Zand";"GM0809";"11970";"3640";"8330";"9925";"2045";"1.2";"239";"1345";"1070"
"Wijk 10 Kaatsheuvel-West";"WK080910";"5195";"1600";"3595";"4320";"880";"1.2";"497";"630";"405"
"Draaiboom";"BU08091001";"1030";"405";"630";"875";"155";"1.3";"3430";"55";"80"
"Hil (noord)";"BU08091005";"255";"60";"195";"210";"45";"1.1";"2561";"20";"20"
"Hil (zuid)";"BU08091006";"405";"160";"245";"345";"60";"1.4";"3076";"20";"20"
"Pannenhoef (west)";"BU08091010";"545";"135";"410";"475";"70";"1.1";"2763";"20";"55"
"Pannenhoef (oost)";"BU08091011";"285";"70";"215";"255";"30";"0.9";"2908";"20";"20"
"Bloemenbuurt";"BU08091015";"215";"35";"185";"185";"35";"1.2";"2435";"15";"15"
"Centrum";"BU08091020";"385";"90";"295";"315";"70";"1.0";"2220";"55";"35"
"Schrijversbuurt";"BU08091021";"250";"80";"175";"225";"30";"1.0";"2429";"25";"10"
"Staatsliedenbuurt";"BU08091025";"280";"75";"205";"245";"35";"1.1";"2244";"15";"15"
"Vossenberg (west)";"BU08091030";"490";"125";"365";"430";"65";"1.3";"2022";"50";"40"
"Vossenberg (oost)";"BU08091031";"265";"75";"190";"215";"50";"1.2";"1523";"30";"25"
"De Kets (industrieterrein)";"BU08091035";"175";"120";"55";"80";"90";".";".";"165";"5"
"De Zandschel";"BU08091040";"330";"85";"245";"235";"95";"1.4";"117";"90";"20"
"De Baan";"BU08091041";"280";"85";"195";"225";"55";"1.6";"54";"50";"45"
"Wijk 20 Kaatsheuvel-Oost";"WK080920";"3215";"960";"2255";"2720";"495";"1.2";"245";"280";"295"
"Heikant";"BU08092045";"680";"210";"470";"590";"95";"1.2";"3297";"30";"60"
"Els (west)";"BU08092048";"115";"25";"90";"100";"15";"1.1";"1144";"15";"20"
"Els (oost)";"BU08092049";"275";"115";"160";"230";"45";"1.2";"2411";"15";"15"
"Rooi Dorp";"BU08092052";"435";"85";"350";"370";"65";"1.1";"1906";"65";"40"
"Loonse Vaart";"BU08092055";"830";"220";"610";"705";"125";"1.1";"2885";"55";"75"
"De Oude Omdraaier";"BU08092058";"295";"115";"180";"240";"55";"1.5";"1439";"10";"20"
"Prinsessenbuurt";"BU08092061";"345";"115";"230";"295";"50";"1.3";"806";"30";"30"
"Het Hoekske";"BU08092063";"210";"60";"150";"170";"40";"1.4";"23";"45";"30"
"De Klinkenpolder";"BU08092066";"30";"10";"20";"20";"10";".";".";"20";"0"
"Wijk 30 Loon op Zand";"WK080930";"3195";"985";"2210";"2595";"605";"1.2";"157";"325";"295"
"Oud-Loon";"BU08093070";"1310";"365";"945";"1055";"255";"1.1";"1039";"160";"125"
"Mussenhoek";"BU08093071";"245";"80";"160";"180";"65";"1.6";"533";"25";"25"
"Molenwijk (noord)";"BU08093080";"790";"240";"550";"660";"130";"1.3";"2783";"60";"60"
"Molenwijk (zuid)";"BU08093081";"630";"220";"410";"535";"95";"1.2";"2567";"20";"55"
"De Hoogt (Industrieterrein)";"BU08093085";"25";"15";"10";"15";"10";".";".";"20";"0"
"Bergeind";"BU08093090";"85";"25";"60";"60";"25";"1.5";"17";"20";"10"
"Oost-Loon";"BU08093091";"115";"35";"80";"85";"30";"1.5";"13";"20";"15"
"De Plakken";"BU08093092";"5";"0";"0";"5";"0";".";".";"0";"0"
"Wijk 40 De Moer";"WK080940";"350";"85";"260";"285";"65";"1.6";"56";"100";"70"
"De Moer";"BU08094095";"350";"85";"260";"285";"65";"1.6";"56";"100";"70"
"Mill en Sint Hubert";"GM0815";"6200";"1420";"4780";"4770";"1430";"1.4";"119";"1145";"760"
"Wijk 00 Mill";"WK081500";"3445";"845";"2600";"2670";"780";"1.4";"160";"645";"435"
"Mill-Centrum";"BU08150000";"1000";"230";"775";"820";"185";"1.1";"1079";"135";"85"
"Mill-West";"BU08150001";"890";"200";"690";"715";"170";"1.3";"1430";"100";"110"
"Brugse Berg";"BU08150002";"450";"120";"330";"355";"95";"1.3";"1274";"35";"60"
"Mill-Zuid";"BU08150003";"270";"65";"200";"185";"85";"1.8";"255";"40";"50"
"Bedrijventerrein Het Spoor";"BU08150004";"265";"95";"170";"180";"85";"1.8";"454";"195";"60"
"Bedrijventerrein De Meeren";"BU08150005";"20";"5";"15";"15";"5";".";".";"20";"0"
"Verspreide huizen Groespeel";"BU08150007";"15";"0";"15";"10";"5";".";".";"5";"0"
"Verspreide huizen Achterdijk-Roijendijk";"BU08150008";"265";"65";"200";"190";"75";"1.7";"27";"65";"20"
"Verspreide huizen Meren-De Gagel";"BU08150009";"275";"60";"215";"200";"75";"1.5";"53";"50";"45"
"Wijk 01 Langenboom";"WK081501";"1310";"280";"1030";"1005";"305";"1.5";"102";"180";"140"
"Langenboom";"BU08150100";"795";"180";"610";"620";"170";"1.4";"534";"55";"85"
"Verspreide huizen Langenboom";"BU08150109";"520";"100";"420";"380";"135";"1.7";"45";"125";"55"
"Wijk 02 Sint Hubert";"WK081502";"835";"170";"665";"640";"190";"1.4";"108";"145";"115"
"Sint Hubert";"BU08150200";"600";"130";"470";"465";"130";"1.4";"1449";"80";"75"
"Verspreide huizen Sint Hubert";"BU08150209";"235";"40";"195";"175";"60";"1.5";"32";"65";"40"
"Wijk 03 Wilbertoord";"WK081503";"600";"120";"480";"450";"150";"1.5";"60";"150";"70"
"Wilbertoord";"BU08150300";"450";"90";"360";"340";"115";"1.5";"661";"110";"50"
"Verspreide huizen Wilbertoord";"BU08150309";"150";"30";"120";"115";"35";"1.6";"16";"40";"20"
"Nuenen, Gerwen en Nederwetten";"GM0820";"12305";"3790";"8515";"10250";"2050";"1.3";"365";"1125";"975"
"Wijk 00 Nuenen";"WK082000";"10690";"3350";"7340";"8945";"1750";"1.2";"590";"895";"835"
"Nuenen-Noord";"BU08200000";"2800";"830";"1970";"2405";"390";"1.1";"1101";"180";"200"
"Nuenen-Zuid";"BU08200001";"3800";"1175";"2630";"3205";"595";"1.2";"1898";"235";"305"
"Nuenen-Oost";"BU08200002";"3280";"1120";"2160";"2730";"545";"1.3";"1934";"115";"245"
"Eeneind";"BU08200003";"585";"185";"405";"435";"155";"2.0";"129";"310";"75"
"Verspreide huizen Boord, Opwetten";"BU08200008";"185";"30";"155";"130";"55";"1.2";"64";"35";"5"
"Verspr.h. ten zuidoosten van Nuenen";"BU08200009";"40";"10";"30";"35";"5";".";".";"20";"5"
"Wijk 01 Gerwen";"WK082001";"1140";"330";"810";"920";"220";"1.4";"112";"165";"95"
"Gerwen";"BU08200100";"950";"295";"655";"785";"170";"1.4";"298";"130";"70"
"Verspreide huizen Gerwen";"BU08200109";"190";"35";"155";"135";"55";"1.5";"27";"35";"25"
"Wijk 02 Nederwetten";"WK082002";"465";"105";"360";"385";"80";"1.3";"86";"55";"45"
"Nederwetten";"BU08200200";"375";"85";"290";"310";"65";"1.3";"380";"40";"30"
"Verspreide huizen Nederwetten";"BU08200209";"90";"20";"70";"75";"15";"1.8";"20";"15";"15"
"Oirschot";"GM0823";"10135";"2765";"7370";"8130";"2000";"1.4";"100";"1705";"910"
"Wijk 00 Oirschot";"WK082300";"5685";"1525";"4160";"4765";"925";"1.3";"131";"840";"485"
"Oirschot-Centrum";"BU08230000";"2120";"525";"1595";"1845";"275";"1.1";"1720";"210";"175"
"Oirschot Noordoost";"BU08230001";"55";"15";"45";"45";"15";"0.9";"44";"10";"5"
"De Notel";"BU08230002";"2195";"550";"1640";"1875";"320";"1.4";"2432";"165";"195"
"Industrieterrein De Stad";"BU08230003";"205";"95";"110";"160";"45";"1.7";"371";"145";"10"
"Snepseind en Bijsterveld";"BU08230004";"200";"40";"155";"160";"35";"1.4";"59";"55";"15"
"Straten met Moleneind";"BU08230005";"105";"25";"85";"85";"20";"1.4";"49";"25";"5"
"Verspreide huizen Zuid-Oirschotse Heide";"BU08230008";"600";"240";"365";"435";"165";"1.9";"30";"180";"55"
"Verspreide huizen Noord en De Mortelen";"BU08230009";"205";"40";"165";"160";"45";"1.5";"15";"50";"20"
"Wijk 01 Spoordonk";"WK082301";"1160";"295";"865";"900";"260";"1.4";"67";"255";"115"
"Spoordonk";"BU08230100";"395";"115";"285";"330";"65";"1.6";"1762";"35";"40"
"Verspreide huizen Spoordonk";"BU08230109";"765";"180";"585";"570";"195";"1.3";"45";"220";"70"
"Wijk 02 Middelbeers en Westelbeers";"WK082302";"2110";"525";"1585";"1660";"445";"1.5";"111";"335";"225"
"Middelbeers";"BU08230200";"1570";"410";"1160";"1270";"300";"1.4";"1647";"170";"145"
"Verspreide huizen Westelbeers";"BU08230208";"185";"25";"160";"140";"45";"1.7";"18";"65";"35"
"Verspreide huizen Middelbeers";"BU08230209";"350";"85";"265";"250";"100";"1.6";"48";"95";"45"
"Wijk 03 Oostelbeers";"WK082303";"950";"200";"750";"770";"185";"1.5";"43";"170";"85"
"Oostelbeers";"BU08230300";"640";"135";"500";"535";"100";"1.4";"1448";"70";"55"
"Verspreide huizen Oostelbeers";"BU08230309";"315";"65";"250";"230";"80";"1.5";"14";"100";"35"
"Oisterwijk";"GM0824";"13225";"4085";"9135";"10780";"2440";"1.2";"207";"1525";"1075"
"Verspr.h. westen en noorden Moerg.";"WK082401";"150";"50";"100";"115";"35";"1.6";"16";"45";"10"
"Verspr.h. westen en noorden Moerg.";"BU08240101";"150";"50";"100";"115";"35";"1.6";"16";"45";"10"
"Pannenschuur";"WK082402";"2720";"820";"1900";"2325";"395";"1.2";"1590";"155";"250"
"Omg. Pannenschuur-Centrum";"BU08240201";"1765";"545";"1220";"1525";"240";"1.2";"1299";"90";"155"
"Omg. Bej.Centrum/Molen";"BU08240202";"955";"275";"680";"800";"155";"1.1";"2706";"65";"95"
"Heukelom";"WK082403";"150";"30";"120";"115";"35";"1.5";"43";"90";"10"
"Heukelom";"BU08240301";"150";"30";"120";"115";"35";"1.5";"43";"90";"10"
"Buitengebied (Zuid)";"WK082404";"420";"130";"290";"315";"105";"1.4";"18";"65";"30"
"Buitengebied (Zuid)";"BU08240401";"375";"115";"255";"280";"90";"1.5";"21";"50";"20"
"Buitengebied (de Logt)";"BU08240402";"45";"10";"35";"35";"10";".";".";"15";"10"
"Omgeving Vinkenberg / Heuvelstraat";"WK082405";"95";"20";"75";"60";"30";"1.3";"74";"40";"10"
"Omg. Vinkenberg/Heuvelstraat";"BU08240501";"95";"20";"75";"60";"30";"1.3";"74";"40";"10"
"Omgeving George Perklaan";"WK082406";"115";"35";"80";"85";"30";"1.5";"1373";"10";"10"
"Omgeving George Perklaan";"BU08240601";"115";"35";"80";"85";"30";"1.5";"1373";"10";"10"
"Centrum Moergestel";"WK082407";"2660";"810";"1850";"2210";"455";"1.3";"1225";"315";"280"
"Centrum Moergestel";"BU08240701";"2660";"810";"1850";"2210";"455";"1.3";"1225";"315";"280"
"'t Westend / 't Seuverick";"WK082408";"1310";"325";"990";"1125";"190";"1.1";"2475";"80";"135"
"Omg. 't Seuverick";"BU08240801";"465";"125";"345";"400";"70";"1.2";"2721";"15";"55"
"Omg. 't Westend";"BU08240802";"320";"85";"235";"285";"35";"1.0";"2571";"15";"20"
"Omg. ""Prinsessen""-wijk";"BU08240803";"525";"115";"410";"440";"85";"1.0";"2245";"50";"60"
"Bunders / Levenskerk";"WK082409";"2130";"715";"1415";"1695";"435";"1.3";"1554";"95";"120"
"Omg. Europaln/Hondsbergseln";"BU08240901";"300";"115";"180";"225";"70";"1.9";"632";"10";"15"
"Omg. Levenskerk/Boomgaard";"BU08240902";"760";"240";"520";"610";"150";"1.2";"2028";"45";"35"
"Omg. Bunders";"BU08240903";"565";"190";"375";"450";"115";"1.2";"2218";"15";"40"
"Omg. Dotterpln/Wildemanstr";"BU08240904";"505";"165";"340";"410";"95";"1.3";"1886";"20";"30"
"Buitengebied Kerkhoven";"WK082410";"35";"10";"30";"25";"10";".";".";"5";"5"
"Buitengebied Kerkhoven";"BU08241001";"35";"10";"30";"25";"10";".";".";"5";"5"
"Waterhoef / Klompven";"WK082411";"1700";"505";"1195";"1420";"275";"1.1";"1576";"115";"120"
"Omg. ""Burghtweide""";"BU08241102";"290";"105";"185";"235";"55";"1.3";"996";"10";"20"
"Omg. Klompven/Eikenven";"BU08241103";"255";"95";"160";"200";"55";"1.6";"742";"5";"10"
"Omg. Boxtelsebn/Waterhoef";"BU08241104";"1155";"305";"850";"990";"165";"1.0";"2588";"100";"90"
"Omgeving Industrieterrein";"WK082412";"325";"195";"130";"165";"160";".";".";"295";"10"
"Omgeving Industrieterrein";"BU08241201";"325";"195";"130";"165";"160";".";".";"295";"10"
"Centrum Oisterwijk";"WK082413";"1105";"355";"750";"915";"190";"1.0";"1705";"105";"60"
"Omg. Petrus-Kerk";"BU08241301";"455";"135";"320";"380";"75";"0.9";"1816";"25";"30"
"Omg. De Lind/Kerkstr";"BU08241302";"650";"220";"430";"535";"115";"1.0";"1636";"80";"30"
"Verspr.h. oosten en zuiden Moerg.";"WK082414";"230";"60";"170";"165";"65";"2.0";"16";"55";"25"
"Verspr.h. oosten en zuiden Moerg.";"BU08241402";"230";"60";"170";"165";"65";"2.0";"16";"55";"25"
"Omgeving Broekzijde";"WK082415";"55";"15";"40";"40";"20";".";".";"15";"5"
"Omg. Broekzijde";"BU08241501";"55";"15";"40";"40";"20";".";".";"15";"5"
"Oosterhout";"GM0826";"27495";"9055";"18440";"22805";"4690";"1.2";"385";"3200";"2070"
"Wijk 00 Oosterhout-Centrum";"WK082600";"2570";"830";"1745";"2205";"365";"0.9";"2735";"210";"205"
"Centrum";"BU08260000";"2570";"830";"1745";"2205";"365";"0.9";"2735";"210";"205"
"Wijk 01 Slotjes";"WK082601";"3595";"1060";"2535";"3100";"495";"1.0";"1763";"270";"240"
"Slotjes-Oost";"BU08260100";"690";"225";"465";"605";"85";"1.1";"931";"80";"65"
"Slotjes-Midden";"BU08260101";"1750";"405";"1345";"1495";"255";"0.9";"2430";"155";"115"
"Slotjes-West";"BU08260102";"1155";"435";"720";"1005";"155";"1.1";"1997";"30";"60"
"Wijk 02 West";"WK082602";"1045";"330";"715";"870";"175";"1.2";"1321";"130";"115"
"Oud-West";"BU08260200";"685";"190";"495";"575";"110";"1.1";"1470";"115";"90"
"Kanaleneiland";"BU08260201";"360";"140";"220";"300";"60";"1.3";"1107";"15";"25"
"Wijk 03 Strijen";"WK082603";"1735";"510";"1225";"1485";"250";"1.1";"2207";"115";"110"
"Vogelbuurt";"BU08260300";"945";"270";"675";"815";"130";"1.1";"2026";"80";"75"
"Kastelenbuurt";"BU08260301";"790";"240";"550";"670";"120";"1.1";"2471";"35";"40"
"Wijk 04 Leijsenakkers";"WK082604";"815";"300";"510";"695";"120";"1.3";"730";"45";"75"
"Leijsenakkers";"BU08260400";"460";"175";"290";"395";"65";"1.4";"544";"35";"45"
"Molenbuurt";"BU08260401";"350";"130";"225";"300";"55";"1.3";"1321";"10";"25"
"Wijk 05 Oosterheide";"WK082605";"4020";"1065";"2955";"3310";"710";"1.0";"1456";"225";"225"
"Bloemenbuurt";"BU08260500";"860";"225";"635";"675";"185";"1.1";"1315";"55";"50"
"Schrijversbuurt";"BU08260501";"700";"115";"585";"575";"130";"0.9";"2093";"85";"40"
"Natuurkundigenbuurt";"BU08260502";"895";"210";"685";"765";"130";"1.1";"2204";"55";"60"
"Componistenbuurt";"BU08260503";"930";"315";"615";"785";"145";"1.2";"2769";"25";"50"
"De Warande";"BU08260504";"335";"120";"215";"245";"90";"1.7";"464";"5";"15"
"Paterserf";"BU08260505";"300";"80";"220";"260";"40";"0.6";"970";"5";"5"
"Wijk 06 Dommelbergen";"WK082606";"6985";"2215";"4770";"5915";"1070";"1.2";"2377";"315";"505"
"Kruidenbuurt";"BU08260600";"985";"325";"660";"815";"170";"1.3";"2201";"30";"60"
"Sterrenbuurt";"BU08260601";"690";"200";"495";"610";"85";"1.1";"2393";"40";"45"
"Donkenbuurt";"BU08260602";"635";"175";"460";"535";"100";"1.1";"2648";"25";"35"
"Larenbuurt";"BU08260603";"580";"160";"415";"490";"90";"1.1";"2679";"25";"60"
"Beemdenbuurt";"BU08260604";"990";"275";"720";"855";"140";"1.1";"2075";"70";"80"
"Schildersbuurt";"BU08260605";"1385";"455";"930";"1170";"215";"1.3";"2640";"45";"105"
"Dammenbuurt";"BU08260606";"660";"215";"445";"565";"95";"1.2";"2424";"40";"30"
"Staatsliedenbuurt";"BU08260607";"1055";"410";"640";"885";"170";"1.3";"2242";"35";"85"
"Wijk 07 Vrachelen";"WK082607";"3125";"1390";"1735";"2545";"580";"1.3";"1220";"255";"210"
"Vrachelen-Zuidoost";"BU08260700";"655";"285";"370";"525";"125";"1.3";"1653";"45";"45"
"Vrachelen-Noord";"BU08260701";"1360";"610";"750";"1100";"260";"1.4";"1410";"175";"95"
"Vrachelen-Zuidwest";"BU08260702";"1010";"460";"545";"835";"175";"1.3";"1356";"35";"65"
"Vrachelen-Noordwest";"BU08260703";"105";"30";"70";"85";"20";"1.4";"225";"5";"5"
"Wijk 08 Industrieterrein Zuid";"WK082608";"245";"155";"85";"115";"130";".";".";"210";"15"
"Industrieterrein Vijf Eiken";"BU08260800";"160";"85";"75";"80";"80";".";".";"120";"10"
"Industrieterrein Heikant";"BU08260801";"80";"70";"10";"30";"50";".";".";"85";"5"
"Wijk 09 Industrieterrein Noord";"WK082609";"425";"305";"120";"165";"260";".";".";"855";"15"
"Industrieterrein Statendam";"BU08260900";"215";"155";"55";"65";"150";".";".";"415";"15"
"Industrieterrein Weststad-Zuid";"BU08260901";"135";"85";"45";"70";"65";".";".";"295";"0"
"Industrieterrein Weststad-Noord";"BU08260902";"80";"65";"15";"35";"45";".";".";"145";"0"
"Wijk 10 Buitengebied Oosterhout";"WK082610";"115";"35";"80";"95";"20";"1.4";"12";"20";"10"
"Oranjepolder";"BU08261000";"0";"0";"0";"0";"0";".";".";"0";"0"
"Bosgebied-Oosterhout";"BU08261001";"115";"35";"80";"95";"20";"1.4";"17";"20";"10"
"Wijk 11 Den Hout";"WK082611";"680";"200";"480";"560";"125";"1.6";"87";"165";"80"
"Den Hout";"BU08261100";"545";"165";"380";"450";"95";"1.5";"443";"140";"65"
"Buitengebied Den Hout";"BU08261109";"135";"35";"100";"105";"30";"1.8";"20";"25";"15"
"Wijk 12 Oosteind";"WK082612";"705";"195";"510";"555";"150";"1.5";"44";"185";"70"
"Oosteind";"BU08261200";"555";"160";"395";"445";"110";"1.5";"387";"140";"60"
"Buitengebied-Oosteind-Zuid";"BU08261208";"90";"20";"70";"70";"25";"1.3";"19";"25";"5"
"Willemspolder";"BU08261209";"60";"15";"45";"45";"15";".";".";"20";"10"
"Wijk 13 Dorst";"WK082613";"1395";"430";"965";"1165";"230";"1.3";"79";"140";"195"
"Dorst";"BU08261300";"1130";"360";"770";"960";"175";"1.3";"1424";"85";"140"
"Buitengebied Dorst-Zuid";"BU08261307";"90";"20";"70";"65";"25";"1.0";"29";"20";"25"
"Bosgebied Dorst";"BU08261308";"105";"30";"75";"90";"15";"1.0";"13";"20";"15"
"Steenoven";"BU08261309";"65";"20";"45";"50";"20";".";".";"10";"10"
"Oss";"GM0828";"44675";"13105";"31570";"35315";"9360";"1.2";"273";"6670";"3580"
"Centrum";"WK082800";"2525";"705";"1820";"2100";"425";"0.8";"2286";"235";"145"
"Centrum West";"BU08280000";"1330";"310";"1020";"1090";"240";"0.8";"2406";"110";"90"
"Centrum Noord";"BU08280001";"365";"110";"255";"315";"50";"0.7";"2044";"35";"15"
"Centrum Zuid";"BU08280002";"830";"290";"540";"695";"135";"0.8";"2223";"95";"40"
"Schadewijk";"WK082801";"4035";"945";"3090";"3355";"685";"0.9";"1961";"310";"320"
"Verzetsheldenbuurt I";"BU08280100";"1080";"255";"820";"905";"175";"0.9";"3310";"75";"85"
"Berghemseweg Zuid";"BU08280101";"720";"195";"525";"595";"125";"0.8";"2581";"50";"50"
"Verzetsheldenbuurt II";"BU08280102";"545";"115";"430";"460";"85";"0.8";"1999";"50";"45"
"Vogelbuurt";"BU08280103";"420";"75";"345";"355";"65";"0.7";"1699";"35";"35"
"Roofvogelbuurt";"BU08280104";"445";"80";"365";"380";"65";"0.9";"2253";"40";"30"
"Schadewijk Noord-Oost";"BU08280105";"480";"100";"380";"380";"100";"1.2";"2358";"40";"55"
"De Horzak";"BU08280106";"355";"130";"225";"280";"70";"1.1";"661";"20";"25"
"Industrieterreinen-Zuid";"WK082802";"995";"720";"270";"405";"590";".";".";"615";"25"
"Moleneind";"BU08280200";"20";"5";"15";"15";"5";".";".";"30";"0"
"Landweer";"BU08280201";"250";"215";"40";"165";"90";".";".";"155";"5"
"Danenhoef";"BU08280202";"720";"505";"215";"230";"495";".";".";"435";"20"
"Oss-Zuid";"WK082803";"2965";"835";"2130";"2405";"560";"1.0";"1418";"200";"215"
"Kortfoort";"BU08280300";"1010";"265";"745";"810";"200";"1.0";"1878";"75";"75"
"Oranjebuurt I en Ruivert";"BU08280301";"500";"140";"360";"395";"110";"1.2";"991";"15";"30"
"Zeeheldenbuurt I";"BU08280302";"275";"70";"200";"230";"40";"0.7";"2636";"20";"25"
"Zeeheldenbuurt II";"BU08280303";"265";"60";"205";"220";"45";"1.0";"1548";"30";"15"
"Bomenbuurt";"BU08280304";"340";"100";"240";"280";"60";"1.0";"1797";"25";"35"
"Oranjebuurt II";"BU08280305";"255";"70";"185";"205";"50";"1.0";"2766";"20";"25"
"Willibrordusweg-Oost";"BU08280306";"170";"75";"100";"135";"35";"1.9";"1009";"10";"10"
"Willibrordusweg-West";"BU08280307";"150";"55";"95";"125";"25";"1.5";"466";"5";"0"
"Krinkelhoek";"WK082804";"3725";"1095";"2625";"3050";"675";"1.1";"1886";"280";"315"
"Oorlogsheldenbuurt";"BU08280400";"200";"40";"160";"175";"30";"1.1";"2310";"20";"15"
"Hertogenbuurt";"BU08280401";"1350";"310";"1040";"1130";"220";"1.0";"2527";"140";"115"
"Mettegeupel";"BU08280402";"895";"295";"600";"720";"175";"1.3";"1875";"75";"95"
"De Noord";"BU08280403";"1010";"375";"635";"810";"200";"1.4";"2362";"40";"80"
"Rusheuvel";"BU08280404";"265";"80";"185";"220";"50";"1.2";"596";"10";"10"
"Industrieterreinen-Noord";"WK082805";"790";"645";"145";"490";"300";".";".";"975";"25"
"Elzenburg";"BU08280500";"715";"585";"130";"470";"245";".";".";"790";"25"
"De Winkel";"BU08280501";"5";"5";"0";"0";"5";".";".";"25";"0"
"Hooimeer";"BU08280502";"0";"0";"0";"0";"0";".";".";"0";"0"
"De Geer";"BU08280503";"70";"60";"15";"20";"50";".";".";"165";"0"
"Ruwaard";"WK082806";"5820";"1390";"4430";"4710";"1110";"1.0";"1409";"395";"430"
"Staatsliedenbuurt";"BU08280600";"805";"155";"650";"665";"145";"1.0";"2243";"65";"65"
"Van Hogendorplaan-West";"BU08280601";"785";"200";"585";"650";"135";"1.1";"1612";"45";"90"
"Dichtersbuurt";"BU08280602";"825";"185";"645";"705";"125";"0.7";"1800";"45";"20"
"Wagenaarstraat en omgeving";"BU08280603";"810";"155";"650";"645";"165";"1.0";"1922";"50";"45"
"Vondellaan-Zuid";"BU08280604";"1005";"205";"800";"805";"200";"1.1";"2270";"55";"105"
"Euterpelaan-Noord";"BU08280605";"90";"40";"50";"65";"25";".";".";"50";"15"
"Beethovengaarde en Lisztgaarde";"BU08280606";"450";"135";"315";"365";"85";"1.0";"1367";"25";"25"
"Witte Hoef";"BU08280607";"375";"160";"215";"270";"110";"1.5";"498";"20";"15"
"Het Woud";"BU08280608";"625";"130";"495";"510";"115";"1.0";"2047";"40";"50"
"De Elzen";"BU08280609";"45";"20";"20";"35";"10";".";".";"5";"5"
